n_bits,threads,avg_cbs_ms,avg_lut_ms,avg_total_ms,iters
12,4,46.759215,1.524813,48.284028,16
12,4,49.624179,1.210629,50.834808,35
12,4,45.948907,1.184079,47.132986,70
12,4,45.014998,1.120083,46.135081,105
12,4,44.534838,1.155893,45.690731,140
12,4,43.979152,1.128648,45.107800,175
12,4,47.605801,1.332554,48.938355,210
12,4,47.184816,1.263978,48.448794,245
12,4,43.862322,1.243247,45.105569,280
12,4,44.340620,1.137598,45.478218,315
12,4,44.299995,1.212847,45.512842,350
12,8,48.110953,2.012125,50.123078,1
12,8,49.312646,2.736702,52.049349,2
12,8,54.238216,2.304784,56.542999,4
12,8,55.246543,2.677386,57.923929,8
12,8,43.980970,1.545046,45.526017,16
12,8,48.782051,1.478933,50.260984,36
12,8,42.933331,1.176946,44.110277,72
12,8,42.476282,1.098059,43.574340,108
12,8,42.487859,1.302649,43.790508,144
12,8,42.610624,1.084726,43.695349,180
12,8,42.132452,1.143464,43.275916,216
12,8,42.202303,1.202177,43.404481,252
12,8,42.185042,1.178847,43.363889,288
12,8,41.950924,1.201476,43.152400,324
12,8,42.124368,1.102457,43.226824,360
16,1,160.661618,8.702893,169.364511,1
16,1,156.103783,7.305736,163.409518,2
16,1,154.821957,7.115065,161.937022,4
16,1,155.266236,7.109570,162.375806,11
16,1,149.985103,6.851152,156.836255,22
16,1,151.877864,6.980272,158.858136,33
16,1,152.334763,6.998640,159.333404,44
16,1,154.834822,7.150309,161.985131,55
16,1,154.559894,7.090568,161.650462,66
16,1,155.206395,7.239058,162.445453,77
16,1,153.153600,7.107399,160.260999,88
16,1,166.702108,7.539837,174.241945,99
16,1,156.491761,7.122589,163.614350,110
16,2,81.793323,6.319801,88.113124,1
16,2,89.545509,5.659020,95.204529,2
16,2,85.528179,3.836212,89.364392,4
16,2,83.438260,3.818564,87.256825,8
16,2,83.219207,4.229630,87.448837,21
16,2,81.473280,4.079587,85.552867,42
16,2,81.717489,3.962553,85.680042,63
16,2,81.729915,4.067307,85.797222,84
16,2,80.884650,3.953263,84.837913,105
16,2,81.646308,4.033458,85.679766,126
16,2,83.376025,4.299283,87.675309,147
16,2,90.738815,4.541402,95.280217,168
16,2,83.058493,4.185554,87.244047,189
16,2,90.001583,4.447516,94.449099,210
16,4,56.964276,4.438436,61.402712,1
16,4,56.093525,4.338909,60.432434,2
16,4,52.861309,3.685410,56.546720,4
16,4,56.109327,3.449226,59.558553,8
16,4,46.368517,2.998162,49.366679,16
16,4,45.125028,2.855161,47.980189,33
16,4,44.878102,2.944984,47.823086,66
16,4,45.198546,2.949356,48.147902,99
16,4,44.395662,2.771022,47.166684,132
16,4,44.350739,2.858106,47.208845,165
16,4,45.813920,2.888019,48.701939,198
16,4,45.693866,2.879176,48.573042,231
16,4,45.171754,2.849177,48.020931,264
16,4,44.500661,2.828948,47.329609,297
16,4,44.354435,2.823178,47.177613,330
16,8,55.506210,5.228788,60.734998,1
16,8,51.761404,5.185153,56.946556,2
16,8,52.965723,3.898951,56.864673,4
16,8,56.103605,3.936483,60.040088,8
16,8,48.106160,3.341029,51.447189,16
16,8,44.824321,2.988061,47.812382,32
16,8,44.738319,2.972540,47.710858,64
16,8,45.348739,2.951659,48.300398,96
16,8,44.700543,2.902202,47.602745,128
